Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
ai,₹491.09,11,148,0.00,"(harvey ai, legal ai, harvey ai legal)"
legal,₹311.67,7,82,0.00,"(legal ai, harvey ai legal, ai tools for legal drafting)"
for,₹178.56,4,35,0.00,"(ai tools for legal drafting, ai for lawyers, ai drafting tools for lawyers)"
harvey,₹44.63,1,26,0.00,"(harvey ai, harvey ai legal, ai harvey law)"
drafting,₹133.29,3,25,0.00,"(ai tools for legal drafting, ai legal drafting, legal drafting ai)"
law,₹89.80,2,20,0.00,"(law ai, law insider ai, law attorney ai)"
tools,₹88.67,2,20,0.00,"(ai tools for legal drafting, ai drafting tools for lawyers, ai tools for legal professionals)"
best,₹43.86,1,15,0.00,"(best ai for lawyers in india, best legal ai tools in india, best ai for drafting legal documents)"
for lawyers,₹89.62,2,13,0.00,"(ai for lawyers, ai drafting tools for lawyers, best ai for lawyers in india)"
in,₹0.00,0,13,0.00,"(ai in legal profession, best ai for lawyers in india, best legal ai tools in india)"
india,₹0.00,0,11,0.00,"(best ai for lawyers in india, best legal ai tools in india, ai for legal drafting in india)"
software,₹0.00,0,8,0.00,"(advocate case management software, ai software for lawyers, best ai software for lawyers)"
advocate,₹0.00,0,6,0.00,"(ai advocate, advocate ai, advocate ai prompt)"
legal documents,₹0.00,0,6,0.00,"(ai tools for drafting legal documents, best ai for drafting legal documents, best ai to review legal documents)"
ai tool,₹0.00,0,5,0.00,"(ai tool for lawyers, best ai tool for advocates in india, best ai tool for drafting legal documents)"
management,₹0.00,0,5,0.00,"(advocate case management software, law firm management software, legal case management software)"
legal advice,₹0.00,0,4,0.00,"(legal advice ai, legal advice online ai)"
legal research,₹0.00,0,4,0.00,"(ai legal research, best ai for legal research and drafting, best legal research ai tools)"
contract,₹0.00,0,4,0.00,(contract analyzer)
analyzer,₹0.00,0,4,0.00,(contract analyzer)
case,₹0.00,0,3,0.00,"(advocate case management software, case law ai, legal case management software)"
app,₹45.53,1,3,0.00,"(casetext app, ai app for law)"
attorney ai,₹0.00,0,3,0.00,"(law attorney ai, attorney ai)"
legal professionals,₹0.00,0,3,0.00,"(ai tools for legal professionals, ai for legal professionals)"
document,₹44.80,1,3,0.00,"(ai legal document generator, document automation software for lawyers)"
generator,₹44.80,1,3,0.00,"(ai legal document generator, agreement generator ai)"
insider,₹0.00,0,3,0.00,(law insider ai)
vakilsearch,₹0.00,0,3,0.00,(vakilsearch ai)
lexis ai,₹0.00,0,2,0.00,"(lexis ai, lexis ai protege)"
casetext,₹45.53,1,2,0.00,(casetext app)
for advocates,₹0.00,0,2,0.00,"(ai for advocates, best ai tool for advocates in india)"
profession,₹0.00,0,2,0.00,(ai in legal profession)
bot,₹0.00,0,2,0.00,"(jurist bot, law bot pro)"
legal assistant,₹0.00,0,2,0.00,"(ai legal assistant, ai legal assistant india)"
casemine,₹0.00,0,2,0.00,(casemine ai)
central,₹0.00,0,2,0.00,(law central ai)
sifter,₹43.93,1,2,0.00,(legal sifter ai)
vakil,₹0.00,0,2,0.00,(ai vakil)
online,₹0.00,0,2,0.00,(legal advice online ai)
indian,₹0.00,0,2,0.00,"(indian kanoon ai, indian legal ai tools)"
com,₹0.00,0,1,0.00,(file persuit com)
practice,₹0.00,0,1,0.00,(ai in legal practice)
agent,₹0.00,0,1,0.00,(ai law agent)
cloud,₹0.00,0,1,0.00,(cloud legal ai)
lawgpt,₹0.00,0,1,0.00,(lawgpt)
firm,₹0.00,0,1,0.00,(law firm management software)
automation,₹0.00,0,1,0.00,(document automation software for lawyers)
litera,₹0.00,0,1,0.00,(litera legal software)
review,₹0.00,0,1,0.00,(best ai to review legal documents)
kanoon,₹0.00,0,1,0.00,(indian kanoon ai)
legix,₹0.00,0,1,0.00,(legix ai)
agentic,₹0.00,0,1,0.00,(agentic ai legal)
flow,₹0.00,0,1,0.00,(legal flow)
lex,₹0.00,0,1,0.00,(lex ai legal)
tech,₹0.00,0,1,0.00,(ai in legal tech)
counsel,₹0.00,0,1,0.00,(co counsel ai)
agreement,₹0.00,0,1,0.00,(agreement generator ai)
jurist,₹0.00,0,1,0.00,(jurist bot)
lucioai,₹0.00,0,1,0.00,(lucioai)
persuit,₹0.00,0,1,0.00,(file persuit com)
protege,₹0.00,0,1,0.00,(lexis ai protege)
pro,₹0.00,0,1,0.00,(law bot pro)
lawcentral,₹0.00,0,1,0.00,(lawcentral ai)
system,₹0.00,0,1,0.00,(legal services management system)
desk,₹0.00,0,1,0.00,(legal desk ai)
advocategpt,₹0.00,0,1,0.00,(advocategpt)
platform,₹0.00,0,1,0.00,(legal management platform)
file,₹0.00,0,1,0.00,(file persuit com)
related,₹0.00,0,1,0.00,(law related ai tools)
and,₹0.00,0,1,0.00,(best ai for legal research and drafting)
aline,₹0.00,0,1,0.00,(aline ai)
lawyer,₹0.00,0,1,0.00,(harvey ai lawyer)
notice,₹45.08,1,1,0.00,(ai for drafting legal notice)
clio,₹0.00,0,1,0.00,(clio software)
liquidtext,₹0.00,0,1,0.00,(liquidtext for lawyers india)
services,₹0.00,0,1,0.00,(legal services management system)
co,₹0.00,0,1,0.00,(co counsel ai)
to,₹0.00,0,1,0.00,(best ai to review legal documents)
prompt,₹0.00,0,1,0.00,(advocate ai prompt)
experts,₹0.00,0,1,0.00,(legal experts ai)
