Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
ai,₹456.07,12,99,0.00,"(legal ai, ai for lawyers, jurisphere ai)"
legal,₹300.46,8,51,0.00,"(legal ai, cetient legal ai, cocounsel legal)"
law,₹72.11,2,28,0.00,"(law bot pro, law ai, law attorney ai)"
for,₹154.51,4,22,0.00,"(ai for lawyers, ai for law, best ai app for advocates in india)"
for lawyers,₹77.71,2,14,0.00,"(ai for lawyers, best ai for lawyers, best ai app for lawyers in india)"
pro,₹0.00,0,11,0.00,"(law bot pro, lawbot pro, draftbot pro)"
in,₹69.26,2,8,0.00,"(ai in law, artificial intelligence in law, best ai app for advocates in india)"
bot pro,₹0.00,0,8,0.00,"(law bot pro, low bot pro)"
best,₹37.03,1,7,0.00,"(best ai app for advocates in india, best ai for lawyers, best ai app for lawyers in india)"
app,₹76.53,2,6,0.00,"(best ai app for advocates in india, casetext app, best ai app for lawyers in india)"
jurisphere,₹0.00,0,5,0.00,(jurisphere ai)
attorney,₹0.00,0,4,0.00,(law attorney ai)
lawyer,₹0.00,0,4,0.00,"(lawyer ai, ai for lawyer)"
harvey ai,₹0.00,0,4,0.00,"(harvey ai, harvey ai legal)"
software,₹39.88,1,3,0.00,"(case law software, legal case management software, legal case software)"
ai tools,₹0.00,0,3,0.00,"(legal ai tools, best legal ai tools)"
case,₹39.88,1,3,0.00,"(case law software, legal case management software, legal case software)"
for advocates,₹76.79,2,3,0.00,"(best ai app for advocates in india, ai for advocates)"
in india,₹37.03,1,3,0.00,"(best ai app for advocates in india, best ai app for lawyers in india)"
cetient,₹0.00,0,3,0.00,(cetient legal ai)
lawgic,₹0.00,0,2,0.00,(lawgic hub)
casetext,₹39.50,1,2,0.00,(casetext app)
claude,₹0.00,0,2,0.00,"(claude ai for legal drafting, claude for lawyers)"
legal advice,₹0.00,0,2,0.00,"(ai legal advice, legal advice online ai)"
provakil,₹0.00,0,2,0.00,"(provakil app, provakil subscription price)"
lexis,₹0.00,0,2,0.00,"(lexis ai, lexis legal ai)"
intelligence,₹32.23,1,2,0.00,(artificial intelligence in law)
lawbot,₹0.00,0,2,0.00,(lawbot pro)
legal services,₹38.81,1,2,0.00,"(ai legal services, legal services management system)"
digilawyer,₹0.00,0,2,0.00,(digilawyer ai)
artificial,₹32.23,1,2,0.00,(artificial intelligence in law)
hub,₹0.00,0,2,0.00,(lawgic hub)
management,₹38.81,1,2,0.00,"(legal case management software, legal services management system)"
lawttorney ai,₹0.00,0,2,0.00,"(lawttorney ai, lawttorney ai subscription price)"
subscription price,₹0.00,0,2,0.00,"(lawttorney ai subscription price, provakil subscription price)"
cocounsel,₹0.00,0,2,0.00,(cocounsel legal)
claud,₹0.00,0,1,0.00,(claud legal plugin)
agent,₹0.00,0,1,0.00,(legal ai agent)
good,₹0.00,0,1,0.00,(good legal ai)
firm,₹0.00,0,1,0.00,(law firm ai)
flow,₹0.00,0,1,0.00,(legal flow)
counsel,₹0.00,0,1,0.00,(co counsel ai)
clm,₹35.44,1,1,0.00,(spotdraft clm)
legitquest,₹39.92,1,1,0.00,(legitquest ai)
tool,₹0.00,0,1,0.00,(best ai tool for lawyers)
system,₹38.81,1,1,0.00,(legal services management system)
desk,₹39.49,1,1,0.00,(legal desk ai)
lexlegis,₹0.00,0,1,0.00,(lexlegis ai)
legalbot,₹0.00,0,1,0.00,(legalbot ai)
jhana,₹0.00,0,1,0.00,(jhana legal ai)
draftbot,₹0.00,0,1,0.00,(draftbot pro)
related,₹0.00,0,1,0.00,(law related ai)
low,₹0.00,0,1,0.00,(low bot pro)
spotdraft,₹35.44,1,1,0.00,(spotdraft clm)
assistant,₹0.00,0,1,0.00,(ai legal assistant)
co,₹0.00,0,1,0.00,(co counsel ai)
truecounsel,₹0.00,0,1,0.00,(truecounsel)
legalsifter,₹0.00,0,1,0.00,(legalsifter ai)
plugin,₹0.00,0,1,0.00,(claud legal plugin)
drafting,₹0.00,0,1,0.00,(claude ai for legal drafting)
online,₹0.00,0,1,0.00,(legal advice online ai)
