Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
ai,₹294.76,7,105,0.00,"(legal ai, ai legal drafting, law ai)"
legal,₹245.06,6,62,0.00,"(legal ai, ai legal drafting, legal drafting ai)"
for,₹97.29,2,30,0.00,"(ai for legal drafting, best ai for legal drafting, ai app for advocates)"
drafting,₹139.61,3,27,0.00,"(ai legal drafting, legal drafting ai, ai for legal drafting)"
best,₹44.11,1,23,0.00,"(best ai for legal drafting, best legal advice ai, best ai app for legal advice)"
law,₹0.00,0,17,0.00,"(law ai, law central ai, ai law)"
india,₹84.76,2,12,0.00,"(ai legal assistant india, best ai app for legal drafting in india, best ai for law students in india)"
lawyers,₹0.00,0,8,0.00,"(ai for lawyers, best ai for indian lawyers, best ai prompts for lawyers)"
in india,₹44.11,1,8,0.00,"(best ai app for legal drafting in india, best ai for law students in india, best ai for legal drafting in india)"
app,₹0.00,0,7,0.00,"(ai app for advocates, app draftbotpro com, best ai app for legal advice)"
ai tool,₹0.00,0,7,0.00,"(legal drafting ai tool, ai tool for legal drafting, best ai tool for legal drafting)"
is,₹0.00,0,5,0.00,"(what is the best ai for drafting legal documents, which ai is best for law students, which ai is best for legal drafting)"
ai tools,₹0.00,0,4,0.00,"(ai tools for law students, best ai tools for lawyers in india, legal ai tools)"
legal advice,₹0.00,0,4,0.00,"(best legal advice ai, best ai app for legal advice, best ai for legal advice)"
which,₹0.00,0,4,0.00,"(which ai is best for law students, which ai is best for legal drafting, which ai is best for legal work)"
central,₹0.00,0,4,0.00,(law central ai)
advocate,₹0.00,0,3,0.00,"(advocate diary software, advocate gpt ai, advocate prompt)"
draft,₹41.54,1,3,0.00,(legal draft ai)
legal research,₹0.00,0,3,0.00,"(ai legal research, best ai for legal research, legal research app)"
kira,₹0.00,0,3,0.00,"(kira law, kira software, litera kira)"
law students,₹0.00,0,3,0.00,"(ai tools for law students, best ai for law students in india, which ai is best for law students)"
the,₹0.00,0,3,0.00,"(how will ai affect the legal profession, what is the best ai for drafting legal documents, which is the best ai tool for legal drafting)"
software,₹0.00,0,2,0.00,"(advocate diary software, kira software)"
lawattorney,₹0.00,0,2,0.00,(lawattorney ai)
spellbook,₹0.00,0,2,0.00,(spellbook ai)
pro,₹0.00,0,2,0.00,(draftbot pro)
legal assistant,₹40.65,1,2,0.00,"(ai legal assistant, ai legal assistant india)"
draftbot,₹0.00,0,2,0.00,(draftbot pro)
clio,₹0.00,0,2,0.00,"(clio ai, vlex part of clio)"
legal documents,₹0.00,0,2,0.00,"(legal documents ai tool, what is the best ai for drafting legal documents)"
indian,₹0.00,0,2,0.00,"(best ai for indian lawyers, indian law ai)"
com,₹0.00,0,1,0.00,(app draftbotpro com)
alexi,₹0.00,0,1,0.00,(alexi)
expert,₹0.00,0,1,0.00,(legal expert ai)
opencase,₹0.00,0,1,0.00,(opencase ai)
mykase,₹0.00,0,1,0.00,(mykase pricing)
lawgpt,₹0.00,0,1,0.00,(lawgpt india)
claude,₹0.00,0,1,0.00,(claude legal)
lawroom,₹0.00,0,1,0.00,(lawroom ai)
litera,₹0.00,0,1,0.00,(litera kira)
